design,fold_id,model_id,parameter_count,feature_count,state_sha256
leave_zone_out,leave_zone_out_GEO_NW,B5_fixed_kalman,0,0,d7a7569502fb23b43c5b6354de715dfe389bdedbf9c15797f38d608f3be70d37
leave_zone_out,leave_zone_out_GEO_NW,M1_ridge,74,73,b67803931e388b738fdfcff30210ed833d29c4675ff7613f76828d4d35df05b9
leave_zone_out,leave_zone_out_GEO_NW,M2_extra_trees,41244,73,7dbdfae1e166a8b0409a16460717af9acc65c1639377e498a96524a408315233
leave_zone_out,leave_zone_out_GEO_SE,B1_persistence_last_rate,1,0,bc25421fda16db4b07de10a58b87a1ef5468a979874a499b37307ef3a056ca61
leave_zone_out,leave_zone_out_GEO_SE,B3_profile_robust_trend,3,0,61d633bc19d50a3233e53505cab9b9caf98b3069e35c124e29127974cd571a15
leave_zone_out,leave_zone_out_GEO_SE,B5_fixed_kalman,0,0,6ee65b8952ea8710cf84c2607d082c26c2df5d11312d15cc6821b4d0b3384e87
leave_zone_out,leave_zone_out_GEO_SE,M1_ridge,74,73,3406614e95c34b6700861cdd031afbb9e6d848036200a6c558a6f19cc3dd55fc
leave_zone_out,leave_zone_out_GEO_SE,M2_extra_trees,37912,73,445ad66650844e1cf958b9a169737e71191146a111e9e2a5fbf1a7533037a83d
leave_zone_out,leave_zone_out_GEO_SW,B1_persistence_last_rate,1,0,68ddb1de37d36a6a0103d1afbce7a7573431f5bb152ce52018bdfb4ccc53a897
leave_zone_out,leave_zone_out_GEO_SW,B3_profile_robust_trend,3,0,14ebc212623805a79545e50363d36032573c7bf0137fa2dfd4c2ca66fca291c1
leave_zone_out,leave_zone_out_GEO_SW,B5_fixed_kalman,0,0,ec5e871a5e45ffa17d49bb4d1a1dbd155aee0298fb7104987f37adb9327a372b
leave_zone_out,leave_zone_out_GEO_SW,M1_ridge,74,73,d3be7c7c59504bd520fefd21ee6fcb007ce7babae31a1c05f8d3b17c2a32d0e1
leave_zone_out,leave_zone_out_GEO_SW,M2_extra_trees,38268,73,a34ad623e3f84ce743d83c47f7146b014668200688ba562e7f4f64292d7e6732
