design,fold_id,held_out_group,model_id,family,train_rows,validation_rows,fit_seconds,inference_seconds,n,mae,rmse,bias,r2,precision_weighted_n,precision_weighted_mae,precision_weighted_rmse,precision_weighted_bias,precision_weighted_r2
leave_profile_out,leave_profile_out_P-H01,P-H01,B3_profile_robust_trend,profile_robust_trend,846,18,0.0009182000067085028,0.00022649999300483614,18,10.856312909821488,14.557143765614791,-3.8756475715871765,0.8942310835906349,18,10.747930213169182,14.535770620137232,-3.878061479443494,0.8952335535998126
leave_profile_out,leave_profile_out_P-H01,P-H01,B5_fixed_kalman,fixed_kalman,846,18,0.0004290999931981787,0.0390563000109978,18,8.071560484763141,9.27059835754919,1.681032935611001,0.9571035606432204,18,7.684419851612889,8.907012662843238,2.016628047915796,0.960662185265501
leave_profile_out,leave_profile_out_P-H01,P-H01,M1_ridge,ridge,846,18,0.02843199999188073,0.01133220001065638,18,12.172620420736182,13.529841512925815,7.587232147656015,0.9086326283978688,18,12.32535983894557,13.601710714677766,7.934811976649562,0.9082654026688302
leave_profile_out,leave_profile_out_P-H01,P-H01,M2_extra_trees,extra_trees,846,18,0.5060489000024972,0.020272199995815754,18,9.84003038012466,12.18709901280657,1.5883038197812085,0.9258678848026761,18,9.785345263850466,11.962522219580682,1.5631159934716115,0.9290435946419665
leave_profile_out,leave_profile_out_P-H02,P-H02,B1_persistence_last_rate,persistence,839,14,0.0004675000091083348,3.569999535102397e-05,14,13.717358692672395,18.71185205850661,-13.569368249546544,0.8872083546996374,14,13.41990830132053,18.623621981699248,-13.215822761214962,0.8849773532507383
leave_profile_out,leave_profile_out_P-H02,P-H02,B3_profile_robust_trend,profile_robust_trend,839,14,0.0008470999891869724,0.00020160000713076442,14,21.059939749675866,26.5559848784794,-18.460983405854563,0.7728209878046463,14,20.300339135159764,25.942297119129837,-17.92746583042233,0.7768114456462943
leave_profile_out,leave_profile_out_P-H02,P-H02,B5_fixed_kalman,fixed_kalman,839,14,0.0005913999921176583,0.03424850000010338,14,19.16908574871964,26.92521969546651,-18.16897169420774,0.76645966831555,14,19.367019165041945,27.533074850160496,-18.02223379111716,0.7486004523314032
leave_profile_out,leave_profile_out_P-H02,P-H02,M1_ridge,ridge,839,14,0.028070800006389618,0.011919899989152327,14,17.975984343045187,21.759762262782893,-15.58721095793452,0.8474712631257186,14,17.195390080322273,20.947439906015113,-14.037994489442704,0.854481916121329
leave_profile_out,leave_profile_out_P-H02,P-H02,M2_extra_trees,extra_trees,839,14,0.49687670001003426,0.020966199997928925,14,15.75527696031604,19.190265204161975,-13.185061440521979,0.8813670487086204,14,15.423555540932222,18.995511306372787,-12.341259653909692,0.8803377850996906
leave_profile_out,leave_profile_out_P-H03,P-H03,B1_persistence_last_rate,persistence,824,12,0.0004918000049656257,3.509999078232795e-05,12,5.3720510485077995,6.728706446208161,3.948665007127132,0.9740552338695655,12,6.082595268585812,7.583753423539797,4.8862365895971935,0.9682458388659824
leave_profile_out,leave_profile_out_P-H03,P-H03,B3_profile_robust_trend,profile_robust_trend,824,12,0.0009585999941918999,0.00019920000340789557,12,9.677675995229404,12.12746664888371,1.57504963724406,0.9157195637811696,12,10.809952959934034,13.235562770512987,1.8680782718321511,0.9032798279648803
leave_profile_out,leave_profile_out_P-H03,P-H03,B5_fixed_kalman,fixed_kalman,824,12,0.0004056000034324825,0.032214599996223114,12,6.689766464735861,7.837917083951615,4.0086317513136205,0.9647963311960478,12,8.036573553160082,9.179192294445865,3.6608727560662744,0.9534798429555053
