tuning_context,student_t_df,inner_folds,validation_rows,volatile_or_gap_rows,overall_mae,reference_b7_overall_mae,overall_normalized_mae,volatile_or_gap_mae,reference_b7_volatile_or_gap_mae,volatile_or_gap_normalized_mae,tuning_score,inner_fold_contract_sha256,all_inner_folds_forward_only,selected
outer::train_leave_profile_out_P-H02,30.0,3,94,5,5.588491279808171,5.114023547193327,1.0927777762922584,3.4554426192440046,3.2281750361157906,1.0704012578579591,1.0815895170751086,ba4dc47aab1600da0729a1adb8a12d1c86df75be52bf8ad10ce317c30f874749,True,True
outer::train_leave_profile_out_P-H03,3.0,3,101,7,7.3338669170579225,6.111436746112371,1.2000233695821474,7.172596903207295,2.473880820647468,2.899330009490947,2.0496766895365472,8a58bf4ca1ad5cccf9ffb4be53a698f70e94d69a76738c5d09c0bc19b154eefd,True,False
outer::train_leave_profile_out_P-H03,5.0,3,101,7,7.421420287208721,6.111436746112371,1.2143495213183153,7.582855893313834,2.473880820647468,3.0651662076951776,2.1397578645067465,8a58bf4ca1ad5cccf9ffb4be53a698f70e94d69a76738c5d09c0bc19b154eefd,True,False
outer::train_leave_profile_out_P-H03,10.0,3,101,7,7.1612520004047635,6.111436746112371,1.1717787973442095,5.415726070666424,2.473880820647468,2.1891620750141922,1.6804704361792009,8a58bf4ca1ad5cccf9ffb4be53a698f70e94d69a76738c5d09c0bc19b154eefd,True,False
outer::train_leave_profile_out_P-H03,30.0,3,101,7,6.784915533533413,6.111436746112371,1.1101997476860834,1.8413669785180475,2.473880820647468,0.7443232362487543,0.9272614919674189,8a58bf4ca1ad5cccf9ffb4be53a698f70e94d69a76738c5d09c0bc19b154eefd,True,True
outer::train_leave_profile_out_P-H04,3.0,3,107,6,6.6560391003243655,6.08739462292164,1.0934134408276304,9.056162615435653,3.847878319779389,2.3535470362677353,1.7234802385476828,7ec289da8f75cab7bb9277c30a1ce1917a2fca2080b85325a6962fe3b0563b89,True,False
outer::train_leave_profile_out_P-H04,5.0,3,107,6,6.741852498765738,6.08739462292164,1.1075103416788168,9.556367940624108,3.847878319779389,2.4835421358053766,1.7955262387420967,7ec289da8f75cab7bb9277c30a1ce1917a2fca2080b85325a6962fe3b0563b89,True,False
outer::train_leave_profile_out_P-H04,10.0,3,107,6,6.4918512106510295,6.08739462292164,1.0664416573564062,7.181155627678841,3.847878319779389,1.8662636993392658,1.466352678347836,7ec289da8f75cab7bb9277c30a1ce1917a2fca2080b85325a6962fe3b0563b89,True,False
outer::train_leave_profile_out_P-H04,30.0,3,107,6,6.262019161060395,6.08739462292164,1.0286862523223348,3.014208083040687,3.847878319779389,0.7833428795153536,0.9060145659188442,7ec289da8f75cab7bb9277c30a1ce1917a2fca2080b85325a6962fe3b0563b89,True,True
outer::train_leave_profile_out_P-H05,3.0,3,110,7,7.1062609999143636,6.225570698864893,1.1414633844267557,7.695423025067413,3.280119105325818,2.3460803641467214,1.7437718742867385,7256c45119156df095e17eba1adb815abb3cb9416cd5aa566a8e0991f000db98,True,False
outer::train_leave_profile_out_P-H05,5.0,3,110,7,7.187006857801994,6.225570698864893,1.1544334175037798,8.265261497786419,3.280119105325818,2.5198052974254486,1.8371193574646143,7256c45119156df095e17eba1adb815abb3cb9416cd5aa566a8e0991f000db98,True,False
outer::train_leave_profile_out_P-H05,10.0,3,110,7,6.917674143584749,6.225570698864893,1.111171084258355,5.478440007579638,3.280119105325818,1.6701954507336279,1.3906832674959915,7256c45119156df095e17eba1adb815abb3cb9416cd5aa566a8e0991f000db98,True,False
outer::train_leave_profile_out_P-H05,30.0,3,110,7,6.781203401487567,6.225570698864893,1.0892500831649028,3.724312928000486,3.280119105325818,1.1354200284841627,1.1123350558245328,7256c45119156df095e17eba1adb815abb3cb9416cd5aa566a8e0991f000db98,True,True
outer::train_leave_profile_out_P-H06,3.0,3,109,7,7.238361150022699,6.358986590690136,1.1382884751825095,7.692296266698952,3.278166242246407,2.3465241535242285,1.742406314353369,d7bb21473411b03a7122ab261da26bf8faefb42468f34881f1ff86b6d190cc51,True,False
outer::train_leave_profile_out_P-H06,5.0,3,109,7,7.320384870364936,6.358986590690136,1.1511873418765082,8.261960004359286,3.278166242246407,2.5202992752123725,1.8357433085444403,d7bb21473411b03a7122ab261da26bf8faefb42468f34881f1ff86b6d190cc51,True,False
outer::train_leave_profile_out_P-H06,10.0,3,109,7,7.049952921790683,6.358986590690136,1.108659818863615,5.4708172700955595,3.278166242246407,1.6688651111075468,1.388762464985581,d7bb21473411b03a7122ab261da26bf8faefb42468f34881f1ff86b6d190cc51,True,False
outer::train_leave_profile_out_P-H06,30.0,3,109,7,6.916736323978968,6.358986590690136,1.0877104748271376,3.7335868260408662,3.278166242246407,1.1389254083351112,1.1133179415811245,d7bb21473411b03a7122ab261da26bf8faefb42468f34881f1ff86b6d190cc51,True,True
outer::train_leave_profile_out_P-H07,3.0,3,108,7,7.317919147371544,6.460229124816008,1.1327646444087947,7.721350089685893,3.2963514484909817,2.3423928577823845,1.7375787510955896,5fc8be00784b7be183095f8da690a618e019c297214652da7d148b91ffc3d7f6,True,False
outer::train_leave_profile_out_P-H07,5.0,3,108,7,7.411398062006442,6.460229124816008,1.147234551408813,8.28204967822566,3.2963514484909817,2.512489886967924,1.8298622191883684,5fc8be00784b7be183095f8da690a618e019c297214652da7d148b91ffc3d7f6,True,False
outer::train_leave_profile_out_P-H07,10.0,3,108,7,7.154473649213321,6.460229124816008,1.1074643810589435,5.5710029526953315,3.2963514484909817,1.6900512702447579,1.3987578256518507,5fc8be00784b7be183095f8da690a618e019c297214652da7d148b91ffc3d7f6,True,False
outer::train_leave_profile_out_P-H07,30.0,3,108,7,7.013710592882303,6.460229124816008,1.0856752070820799,3.5427225705285097,3.2963514484909817,1.074740550541209,1.0802078788116445,5fc8be00784b7be183095f8da690a618e019c297214652da7d148b91ffc3d7f6,True,True
outer::train_leave_profile_out_P-V01,3.0,3,108,6,7.329535966146932,6.459177355578471,1.1347475944156844,8.571078239173097,3.376082110117047,2.5387647455280473,1.8367561699718657,4337da89e63059112a1cd8e25e487bd216a31aedc0c4c7508e847a4b910b89d6,True,False
outer::train_leave_profile_out_P-V01,5.0,3,108,6,7.433284191509698,6.459177355578471,1.1508097366439303,9.17906207086136,3.376082110117047,2.7188503630745897,1.93483004985926,4337da89e63059112a1cd8e25e487bd216a31aedc0c4c7508e847a4b910b89d6,True,False
outer::train_leave_profile_out_P-V01,10.0,3,108,6,7.193642486996851,6.459177355578471,1.1137087729576056,6.333749646713628,3.376082110117047,1.876065048220655,1.4948869105891303,4337da89e63059112a1cd8e25e487bd216a31aedc0c4c7508e847a4b910b89d6,True,False
