old_row_id,new_row_id,row_kind,vn_ids,finding_id
GEO-0191,MGEO-0191,mining_geometry,EV-VN-S023-0158,DOCS_LEAKAGE-019
GEO-0192,MGEO-0192,mining_geometry,EV-VN-S023-0161,DOCS_LEAKAGE-019
GEO-0193,MGEO-0193,mining_geometry,EV-VN-S023-0173,DOCS_LEAKAGE-019
GEO-0194,MGEO-0194,mining_geometry,EV-VN-S023-0182,DOCS_LEAKAGE-019
GEO-0195,MGEO-0195,mining_geometry,EV-VN-S023-0183,DOCS_LEAKAGE-019
GEO-0196,MGEO-0196,mining_geometry,EV-VN-S023-0224,DOCS_LEAKAGE-019
GEO-0197,MGEO-0197,mining_geometry,EV-VN-S023-0225,DOCS_LEAKAGE-019
GEO-0198,MGEO-0198,mining_geometry,EV-VN-S023-0226,DOCS_LEAKAGE-019
GEO-0199,MGEO-0199,mining_geometry,EV-VN-S023-0242,DOCS_LEAKAGE-019
GEO-0200,MGEO-0200,mining_geometry,EV-VN-S023-0244,DOCS_LEAKAGE-019
GEO-0201,MGEO-0201,mining_geometry,EV-VN-S023-0246,DOCS_LEAKAGE-019
GEO-0202,MGEO-0202,mining_geometry,EV-VN-S023-0248,DOCS_LEAKAGE-019
GEO-0203,MGEO-0203,mining_geometry,EV-VN-S023-0250,DOCS_LEAKAGE-019
GEO-0204,MGEO-0204,mining_geometry,EV-VN-S023-0252,DOCS_LEAKAGE-019
GEO-0205,MGEO-0205,mining_geometry,EV-VN-S023-0254,DOCS_LEAKAGE-019
GEO-0206,MGEO-0206,mining_geometry,EV-VN-S023-0256,DOCS_LEAKAGE-019
GEO-0207,MGEO-0207,mining_geometry,EV-VN-S023-0258,DOCS_LEAKAGE-019
GEO-0208,MGEO-0208,mining_geometry,EV-VN-S023-0260,DOCS_LEAKAGE-019
GEO-0209,MGEO-0209,mining_geometry,EV-VN-S023-0262,DOCS_LEAKAGE-019
GEO-0210,MGEO-0210,mining_geometry,EV-VN-S023-0264,DOCS_LEAKAGE-019
GEO-0211,MGEO-0211,mining_geometry,EV-VN-S023-0266,DOCS_LEAKAGE-019
GEO-0212,MGEO-0212,mining_geometry,EV-VN-S023-0268,DOCS_LEAKAGE-019
GEO-0213,MGEO-0213,mining_geometry,EV-VN-S024-0028,DOCS_LEAKAGE-019
GEO-0214,MGEO-0214,mining_geometry,EV-VN-S024-0029,DOCS_LEAKAGE-019
