id,source_id,locator,line,method,interval_start,interval_end,x_label_as_printed,value_mm,digitization_status,digitization_uncertainty_mm,status,scope,evidence_note,position_index,reading_origin,raster_x_px,raster_y_px,legacy_point_id
OBS-MUS-P15-5-LEVELLING-014,VKM-SRC-002,PDF p.15,5,levelling,2011,2016,0.7,-152.5,digitized_marker_or_visible_curve,3.1,FACT,VKM_Solikamsk (SKRU-1 or SKRU-2 not proven),discovery-only; not a time series,14,atlas_digitization,536.522,237,SUP01-P5-LEVELING-2011_2016-014
OBS-MUS-P15-5-LEVELLING-015,VKM-SRC-002,PDF p.15,5,levelling,2011,2016,0.75,-182.3,partially_occluded_approximation,8.4,FACT,VKM_Solikamsk (SKRU-1 or SKRU-2 not proven),discovery-only; not a time series,15,atlas_digitization,568.87,265.5,SUP01-P5-LEVELING-2011_2016-015
OBS-MUS-P15-5-LEVELLING-016,VKM-SRC-002,PDF p.15,5,levelling,2011,2016,0.8,-189.6,digitized_marker_or_visible_curve,3.1,FACT,VKM_Solikamsk (SKRU-1 or SKRU-2 not proven),discovery-only; not a time series,16,atlas_digitization,601.217,272.5,SUP01-P5-LEVELING-2011_2016-016
OBS-MUS-P15-5-LEVELLING-017,VKM-SRC-002,PDF p.15,5,levelling,2011,2016,0.85,-231.9,partially_occluded_approximation,8.4,FACT,VKM_Solikamsk (SKRU-1 or SKRU-2 not proven),discovery-only; not a time series,17,atlas_digitization,633.565,313,SUP01-P5-LEVELING-2011_2016-017
OBS-MUS-P15-5-LEVELLING-018,VKM-SRC-002,PDF p.15,5,levelling,2011,2016,0.9,-265.4,digitized_marker_or_visible_curve,3.1,FACT,VKM_Solikamsk (SKRU-1 or SKRU-2 not proven),discovery-only; not a time series,18,atlas_digitization,665.913,345,SUP01-P5-LEVELING-2011_2016-018
OBS-MUS-P15-5-LEVELLING-019,VKM-SRC-002,PDF p.15,5,levelling,2011,2016,0.95,-297.2,digitized_marker_or_visible_curve,3.1,FACT,VKM_Solikamsk (SKRU-1 or SKRU-2 not proven),discovery-only; not a time series,19,atlas_digitization,698.261,375.5,SUP01-P5-LEVELING-2011_2016-019
OBS-MUS-P15-5-LEVELLING-020,VKM-SRC-002,PDF p.15,5,levelling,2011,2016,1,-307.7,digitized_marker_or_visible_curve,3.1,FACT,VKM_Solikamsk (SKRU-1 or SKRU-2 not proven),discovery-only; not a time series,20,atlas_digitization,730.609,385.5,SUP01-P5-LEVELING-2011_2016-020
OBS-MUS-P15-5-LEVELLING-021,VKM-SRC-002,PDF p.15,5,levelling,2011,2016,1.05,-296.2,digitized_marker_or_visible_curve,3.1,FACT,VKM_Solikamsk (SKRU-1 or SKRU-2 not proven),discovery-only; not a time series,21,atlas_digitization,762.957,374.5,SUP01-P5-LEVELING-2011_2016-021
OBS-MUS-P15-5-LEVELLING-022,VKM-SRC-002,PDF p.15,5,levelling,2011,2016,1.1,-277.9,digitized_marker_or_visible_curve,3.1,FACT,VKM_Solikamsk (SKRU-1 or SKRU-2 not proven),discovery-only; not a time series,22,atlas_digitization,795.304,357,SUP01-P5-LEVELING-2011_2016-022
OBS-MUS-P15-5-LEVELLING-023,VKM-SRC-002,PDF p.15,5,levelling,2011,2016,1.15,-225.7,digitized_marker_or_visible_curve,3.1,FACT,VKM_Solikamsk (SKRU-1 or SKRU-2 not proven),discovery-only; not a time series,23,atlas_digitization,827.652,307,SUP01-P5-LEVELING-2011_2016-023
OBS-MUS-P15-5-LEVELLING-024,VKM-SRC-002,PDF p.15,5,levelling,2011,2016,1.2,-158.8,partially_occluded_approximation,8.4,FACT,VKM_Solikamsk (SKRU-1 or SKRU-2 not proven),discovery-only; not a time series,24,atlas_digitization,860,243,SUP01-P5-LEVELING-2011_2016-024
OBS-MUS-P15-5-LEVELLING-025,VKM-SRC-002,PDF p.15,5,levelling,2015,2016,0,-55.9,digitized_marker_or_visible_curve,3.1,FACT,VKM_Solikamsk (SKRU-1 or SKRU-2 not proven),discovery-only; not a time series,1,atlas_digitization,116,144.5,SUP01-P5-LEVELING-2015_2016-001
OBS-MUS-P15-5-LEVELLING-026,VKM-SRC-002,PDF p.15,5,levelling,2015,2016,0.1,-49.6,digitized_marker_or_visible_curve,3.1,FACT,VKM_Solikamsk (SKRU-1 or SKRU-2 not proven),discovery-only; not a time series,2,atlas_digitization,148.348,138.5,SUP01-P5-LEVELING-2015_2016-002
OBS-MUS-P15-5-LEVELLING-027,VKM-SRC-002,PDF p.15,5,levelling,2015,2016,0.15,-41.8,digitized_marker_or_visible_curve,3.1,FACT,VKM_Solikamsk (SKRU-1 or SKRU-2 not proven),discovery-only; not a time series,3,atlas_digitization,180.696,131,SUP01-P5-LEVELING-2015_2016-003
OBS-MUS-P15-5-LEVELLING-028,VKM-SRC-002,PDF p.15,5,levelling,2015,2016,0.2,-35.0,digitized_marker_or_visible_curve,3.1,FACT,VKM_Solikamsk (SKRU-1 or SKRU-2 not proven),discovery-only; not a time series,4,atlas_digitization,213.043,124.5,SUP01-P5-LEVELING-2015_2016-004
