point_id,profile_id,point_type,feature,value,unit,provenance,standard_uncertainty,donor_distance_m,source_cell_id,model_feature_allowed,source_reference_year
P-H01-W006,P-H01,WORK,fault_distance_m,158.280781056345,m,C/R,25,13.67377564,G050-001487,True,2022
P-H01-W006,P-H01,WORK,lithology,carnallite,category,D,,0,G050-001487,True,2022
P-H01-W006,P-H01,WORK,terrain_TRI_relative,0.0,relative,C/R,0.1,13.67377564,G050-001487,True,2022
P-H01-W006,P-H01,WORK,terrain_roughness_relative,0.192156862745098,relative,C/R,0.1,13.67377564,G050-001487,True,2022
P-H01-W007,P-H01,WORK,settlement_anchor_map_mm,255.251141552511,mm,D,33.82876712,0,G050-001745,False,2022
P-H01-W007,P-H01,WORK,kzt,0.587150837988827,1,D,0.032,0,G050-001745,True,2022
P-H01-W007,P-H01,WORK,ko,0.540502793296089,1,D,0.014,0,G050-001745,True,2022
P-H01-W007,P-H01,WORK,seismic_energy_J_m2,27.5,J/m2,D,1.2,0,G050-001745,True,2022
P-H01-W007,P-H01,WORK,fill_density,0.958677709102631,1,C/R,0.08,5.343873772,G050-001745,True,2022
P-H01-W007,P-H01,WORK,fault_distance_m,230.994140291113,m,C/R,25,5.343873772,G050-001745,True,2022
P-H01-W007,P-H01,WORK,lithology,carnallite,category,D,,0,G050-001745,True,2022
P-H01-W007,P-H01,WORK,terrain_TRI_relative,,relative,C/R,0.1,5.343873772,G050-001745,True,2022
P-H01-W007,P-H01,WORK,terrain_roughness_relative,,relative,C/R,0.1,5.343873772,G050-001745,True,2022
P-H01-REF-B,P-H01,REF,settlement_anchor_map_mm,0.0,mm,S_REF,0,0,,False,2022
P-H01-REF-B,P-H01,REF,kzt,0.1,1,S_REF,,0,,True,2022
P-H01-REF-B,P-H01,REF,ko,0.3,1,S_REF,,0,,True,2022
P-H01-REF-B,P-H01,REF,seismic_energy_J_m2,0.0,J/m2,S_REF,,0,,True,2022
P-H01-REF-B,P-H01,REF,fill_density,0.0,1,S_REF,,0,,True,2022
P-H01-REF-B,P-H01,REF,fault_distance_m,9999.0,m,S_REF,,0,,True,2022
P-H01-REF-B,P-H01,REF,lithology,stable_external_reference,category,S_REF,,0,,True,2022
P-H01-REF-B,P-H01,REF,terrain_TRI_relative,,relative,S_REF,,0,,True,2022
P-H01-REF-B,P-H01,REF,terrain_roughness_relative,,relative,S_REF,,0,,True,2022
P-H02-REF-A,P-H02,REF,settlement_anchor_map_mm,0.0,mm,S_REF,0,0,,False,2022
P-H02-REF-A,P-H02,REF,kzt,0.1,1,S_REF,,0,,True,2022
P-H02-REF-A,P-H02,REF,ko,0.3,1,S_REF,,0,,True,2022
P-H02-REF-A,P-H02,REF,seismic_energy_J_m2,0.0,J/m2,S_REF,,0,,True,2022
P-H02-REF-A,P-H02,REF,fill_density,0.0,1,S_REF,,0,,True,2022
P-H02-REF-A,P-H02,REF,fault_distance_m,9999.0,m,S_REF,,0,,True,2022
P-H02-REF-A,P-H02,REF,lithology,stable_external_reference,category,S_REF,,0,,True,2022
P-H02-REF-A,P-H02,REF,terrain_TRI_relative,,relative,S_REF,,0,,True,2022
P-H02-REF-A,P-H02,REF,terrain_roughness_relative,,relative,S_REF,,0,,True,2022
P-H02-W001,P-H02,WORK,settlement_anchor_map_mm,330.535538808233,mm,R,70.78815996,76.4787432,G050-001317,False,2022
P-H02-W001,P-H02,WORK,kzt,0.587150837988827,1,D,0.032,0,G050-001317,True,2022
P-H02-W001,P-H02,WORK,ko,0.495530726256983,1,D,0.014,0,G050-001317,True,2022
P-H02-W001,P-H02,WORK,seismic_energy_J_m2,27.5,J/m2,D,1.2,0,G050-001317,True,2022
P-H02-W001,P-H02,WORK,fill_density,0.71074378490448,1,C/R,0.08,7.912350975,G050-001317,True,2022
P-H02-W001,P-H02,WORK,fault_distance_m,76.3974501751075,m,C/R,25,7.912350975,G050-001317,True,2022
P-H02-W001,P-H02,WORK,lithology,mixed_salts,category,R,,45.24521419,G050-001317,True,2022
P-H02-W001,P-H02,WORK,terrain_TRI_relative,,relative,C/R,0.1,7.912350975,G050-001317,True,2022
P-H02-W001,P-H02,WORK,terrain_roughness_relative,,relative,C/R,0.1,7.912350975,G050-001317,True,2022
P-H02-W002,P-H02,WORK,settlement_anchor_map_mm,431.963470319634,mm,D,36.47945205,0,G050-001435,False,2022
P-H02-W002,P-H02,WORK,kzt,0.587150837988827,1,D,0.032,0,G050-001435,True,2022
P-H02-W002,P-H02,WORK,ko,0.495530726256983,1,D,0.014,0,G050-001435,True,2022
