published_row_id,cell_id,distance_to_anchor_m,conditioned_settlement_mm
PUBROW-07,G050-006323,150.351397284245,369.936900692244
PUBROW-07,G050-006324,127.333459860321,376.204753446356
PUBROW-07,G050-006325,118.548766336896,330.447759317692
PUBROW-07,G050-006326,129.97619012727,326.989759548083
PUBROW-07,G050-006327,157.269863610293,323.502256076958
PUBROW-07,G050-006328,193.839650226677,350.624839332646
PUBROW-07,G050-006329,234.650473291682,353.899744497496
PUBROW-07,G050-006431,130.785546296806,316.43475676951
PUBROW-07,G050-006432,103.956102236831,294.408807755034
PUBROW-07,G050-006433,92.9885540928266,282.86282598764
PUBROW-07,G050-006434,107.176822085163,290.6034471472
PUBROW-07,G050-006435,139.021117792495,301.898370154489
PUBROW-07,G050-006436,179.351250880151,286.755412938506
PUBROW-07,G050-006437,222.831563761252,278.923658571858
PUBROW-07,G050-006534,124.77394008557,305.585713391242
PUBROW-07,G050-006535,97.0780714331876,212.09494372192
PUBROW-07,G050-006536,47.5831057539041,217.170547959384
PUBROW-07,G050-006537,10.205486425809,206.888194025095
PUBROW-07,G050-006538,54.2600401141348,222.126746993313
PUBROW-07,G050-006539,103.846771510662,231.719658460513
PUBROW-07,G050-006540,140.998200440181,254.173185250706
PUBROW-07,G050-006541,220.379293363512,249.83424508785
PUBROW-07,G050-006542,253.63240953917,262.654379248173
PUBROW-07,G050-006640,128.328462046773,309.236687524732
PUBROW-07,G050-006641,101.606151388583,266.803784393674
PUBROW-07,G050-006642,56.2477555107745,132.234495329957
