model_id,family,aggregation,seed,fold_id,target_date,rows,fit_seconds,inference_seconds,peak_ram_mb,peak_vram_mb,parameter_count,epoch_count,n,mae,median_absolute_error,rmse,bias,absolute_bias,p90_absolute_error,p95_absolute_error,max_absolute_error,r2_descriptive,precision_weighted_mae,precision_weighted_rmse,b1_mae,b1_skill,mase,mase_available,direction_accuracy,direction_neutral_fraction,b1_fold_mae,fold_mae_ratio_vs_b1
C01_compact_gru,gated_recurrent_unit,single_seed,42121,rolling_origin_2022-10-18,2022-10-18,90,5.632778699975461,0.0010389999952167,1777.5546875,86.72998046875,10401,119,90,8.086960623283005,5.807513035552262,15.43075841324981,-1.2371045966189285,1.2371045966189285,14.870378976108132,16.73911874629066,116.90086987181346,0.6668789915618587,7.0795612194753685,12.02527756220649,7.683236611748699,-0.05254608597071675,1.36080434562195,True,0.6111111111111112,0.6111111111111112,7.683236611748699,1.0525460859707167
C01_compact_gru,gated_recurrent_unit,single_seed,42121,rolling_origin_2023-01-17,2023-01-17,12,7.092461799969897,0.0011801000218838,1779.20703125,85.3193359375,2897,126,12,5.669097583023579,3.7564594649247915,8.629483152374334,-2.945524120855074,2.945524120855074,9.053461324368868,16.53767454566932,25.440753953731488,0.9391518682961046,5.575633917764746,8.545032878363482,8.344330682014652,0.320604875446423,0.9140961139066026,True,0.75,0.5833333333333334,8.344330682014652,0.679395124553577
C01_compact_gru,gated_recurrent_unit,single_seed,42121,rolling_origin_2023-05-16,2023-05-16,88,8.314894099952653,0.0009527000365778,1780.8984375,76.27001953125,1265,174,88,6.759335003605184,5.148864198045652,9.363671336131292,-1.8288809074969101,1.8288809074969101,13.687095692428484,15.338960836065388,40.38909278967811,0.8917446962991433,6.67422769607801,9.320282607016301,6.278201475220701,-0.07663556677552608,1.0825907637584824,True,0.4318181818181818,0.48863636363636365,6.278201475220701,1.076635566775526
C01_compact_gru,gated_recurrent_unit,single_seed,42121,rolling_origin_2023-07-25,2023-07-25,14,10.6500512000639,0.0009488000068813,1782.30859375,76.10009765625,1265,193,14,9.898798602653091,6.687830352715832,15.25738057001267,-9.898798602653091,9.898798602653091,18.173876462166515,31.011316747942693,48.20327347939437,0.8476876246998367,9.99688517087565,15.457482242981765,13.514482114265329,0.2675414034397716,1.5865982601964965,True,0.7857142857142857,0.6428571428571429,13.514482114265329,0.7324585965602284
C01_compact_gru,gated_recurrent_unit,single_seed,42121,rolling_origin_2023-11-07,2023-11-07,88,3.5176951000466943,0.0012185999657958,1782.1171875,86.46044921875,10401,56,88,6.909559491444776,4.673367058608758,11.705719985215255,1.1719573119692352,1.1719573119692352,13.96164799548975,16.579453316571154,72.70098473637921,0.8912573656629409,6.7208889427399665,10.549343969958692,6.104172770658446,-0.1319403547451452,1.0709722186596855,True,0.5795454545454546,0.625,6.104172770658446,1.1319403547451452
C02_compact_lstm,long_short_term_memory,mean_of_fixed_seeds,-1,rolling_origin_2021-05-18,2021-05-18,84,5.497757300036028,0.0055663000093770995,1774.15234375,76.66259765625,1681,48,84,4.230345318539241,3.685446678756616,5.639316696921933,-2.337257167712531,2.337257167712531,7.673042468860279,9.773900018535075,22.749019788479636,0.8697044400761694,4.390534781285494,5.822455515759889,4.847109727074055,0.1272437479782662,0.5399703449208739,True,0.5714285714285714,0.5,4.847109727074055,0.8727562520217338
C02_compact_lstm,long_short_term_memory,mean_of_fixed_seeds,-1,rolling_origin_2021-07-13,2021-07-13,12,9.298973700031638,0.0084005000535396,1775.34765625,77.09521484375,5409,31,12,4.701002519655634,4.972871218514175,5.430355390717869,-0.7266120727929577,0.7266120727929577,7.51563943804483,8.617474760582603,9.848232013492519,0.7811154489944518,4.701002519655635,5.430355390717869,6.930570676489801,0.32170051513902176,0.7820417110876342,True,1.0,1.0,6.930570676489801,0.6782994848609782
C02_compact_lstm,long_short_term_memory,mean_of_fixed_seeds,-1,rolling_origin_2021-11-02,2021-11-02,91,3.3912441001739353,0.005784400040283599,1774.86328125,79.1015625,5409,21,91,5.6588089227452105,3.4244348176330988,11.063087015820399,-1.0954923984597498,1.0954923984597498,8.860226532862162,12.207219054572032,67.72461523994028,0.6367008994824148,6.0256266614824625,11.550184362185682,6.097705185018902,0.07197728472540621,0.9389861690743538,True,0.6593406593406593,0.5824175824175825,6.097705185018902,0.9280227152745938
C02_compact_lstm,long_short_term_memory,mean_of_fixed_seeds,-1,rolling_origin_2022-03-01,2022-03-01,14,4.029730999958701,0.006331100012175499,1775.69921875,77.16552734375,5409,17,14,11.290611556269724,6.9870975401815585,17.983157352284813,-2.221752719623376,2.221752719623376,17.94004165964536,34.33222521130901,59.143763964278065,0.6020163047001947,11.690317622887243,18.567474955847572,5.806703046969976,-0.9444100145884562,1.863484859041383,True,0.5,0.6428571428571429,5.806703046969976,1.9444100145884562
C02_compact_lstm,long_short_term_memory,mean_of_fixed_seeds,-1,rolling_origin_2022-05-17,2022-05-17,89,2.992684599943459,0.0063561999704686,1777.1953125,87.80908203125,13857,13,89,5.158252596011031,2.674157597074693,9.21782392810007,-3.309649822432069,3.309649822432069,10.38828683913834,15.021928596499,48.81508260095126,0.7489098356072919,4.570647380113368,7.77031028351187,4.483330681766071,-0.15054029295449944,0.8526197359282445,True,0.6741573033707865,0.6629213483146067,4.483330681766071,1.1505402929544994
C02_compact_lstm,long_short_term_memory,mean_of_fixed_seeds,-1,rolling_origin_2022-07-19,2022-07-19,13,32.2304596999893,0.0056918000336733,1778.18359375,86.85009765625,13857,136,13,13.907919714356211,12.835343296867578,17.33557699330517,5.389556156600435,5.389556156600435,28.15287717927176,31.89353339440836,36.04181615092102,0.3080656213986894,13.907919714356211,17.33557699330517,12.234021875457897,-0.13682318504401603,2.411067220343804,True,0.46153846153846156,0.5384615384615384,12.234021875457897,1.136823185044016
C02_compact_lstm,long_short_term_memory,mean_of_fixed_seeds,-1,rolling_origin_2022-10-18,2022-10-18,90,15.20651769998949,0.0063201999291776,1777.71875,87.8125,13857,63,90,7.88157825254648,4.853164779048267,15.778906132728395,0.2843702670560497,0.2843702670560497,13.956013003023113,20.553289796945638,121.07628949767131,0.6516777124176235,7.06623289635416,12.224308410331858,7.683236611748699,-0.025814855225789968,1.326244362504468,True,0.5444444444444444,0.6111111111111112,7.683236611748699,1.02581485522579
