point_id,profile_id,point_type,chainage_m,chainage_normalized_profile,kzt,kzt__standard_uncertainty,kzt__donor_distance_m,kzt__provenance,ko,ko__standard_uncertainty,ko__donor_distance_m,ko__provenance,seismic_energy_J_m2,seismic_energy_J_m2__standard_uncertainty,seismic_energy_J_m2__donor_distance_m,seismic_energy_J_m2__provenance,fill_density,fill_density__standard_uncertainty,fill_density__donor_distance_m,fill_density__provenance,fault_distance_m,fault_distance_m__standard_uncertainty,fault_distance_m__donor_distance_m,fault_distance_m__provenance,lithology,lithology__standard_uncertainty,lithology__donor_distance_m,lithology__provenance,terrain_TRI_relative,terrain_TRI_relative__standard_uncertainty,terrain_TRI_relative__donor_distance_m,terrain_TRI_relative__provenance,terrain_roughness_relative,terrain_roughness_relative__standard_uncertainty,terrain_roughness_relative__donor_distance_m,terrain_roughness_relative__provenance
P-H07-REF-A,P-H07,REF,-350,0,0.1,,0,S_REF,0.3,,0,S_REF,0.0,,0,S_REF,0.0,,0,S_REF,9999.0,,0,S_REF,stable_external_reference,,0,S_REF,,,0,S_REF,,,0,S_REF
P-H07-W001,P-H07,WORK,0,0.2968585719,0.281865272925384,0.0760971413,75.60713315,R,0.634306555534042,0.02978426267,25.48946667,R,7.5,2.671348798,45.22479967,R,0.206611573696136,0.08,9.372196643,C/R,280.766821024851,25,9.372196643,C/R,sylvinite,,0,D,0.261111111111111,0.1,9.372196643,C/R,0.0771241830065359,0.1,9.372196643,C/R
P-H07-W002,P-H07,WORK,74.66461176,0.3601866577,0.260893854748603,0.032,0,D,0.598345299173116,0.0315103649,50.14806994,R,7.5,2.712737593,52.1229322,R,0.0,0.08,13.70309013,C/R,350.10119840217,25,13.70309013,C/R,sylvinite,,0,D,0.255555555555556,0.1,13.70309013,C/R,0.0758169934640524,0.1,13.70309013,C/R
P-H07-W003,P-H07,WORK,185.6148837,0.4542910557,0.28473562153885,0.08,100,R,0.379592633827739,0.035,100,R,7.5,3.071935738,111.9892896,R,0.0,0.08,16.70502289,C/R,446.423256333755,25,16.70502289,C/R,sylvinite,,0,D,,0.1,16.70502289,C/R,,0.1,16.70502289,C/R
P-H07-W004,P-H07,WORK,233.6454571,0.4950290198,0.285331561713644,0.088,150,R,0.351650940326918,0.035,100,R,7.5,3.001246734,100.207789,R,0.0082644624635577,0.08,15.65098202,C/R,434.852691235443,25,15.65098202,C/R,sylvinite,,0,D,,0.1,15.65098202,C/R,,0.1,15.65098202,C/R
P-H07-W005,P-H07,WORK,323.1652029,0.5709567452,0.284410027101921,0.088,150,R,0.351650940326918,0.035,100,R,7.5,2.7,50,R,0.107438012957573,0.08,13.92632557,C/R,334.873697519098,25,13.92632557,C/R,sylvinite,,0,D,,0.1,13.92632557,C/R,,0.1,13.92632557,C/R
P-H07-W006,P-H07,WORK,406.6065097,0.6417289371,0.283240223463687,0.088,150,R,0.489985671155174,0.035,100,R,7.5,1.2,0,D,0.438016533851624,0.08,23.68703889,C/R,234.894703802753,25,23.68703889,C/R,sylvinite,,0,D,,0.1,23.68703889,C/R,,0.1,23.68703889,C/R
P-H07-W007,P-H07,WORK,479.012611,0.7031414281,0.283240223463687,0.08166192273,110.3870171,R,0.603050438172689,0.03392608713,84.65838753,R,7.5,2.637677898,39.61298292,R,0.561983466148376,0.08,19.14095754,C/R,195.290042101521,25,19.14095754,C/R,sylvinite,,0,D,,0.1,19.14095754,C/R,,0.1,19.14095754,C/R
P-H07-REF-B,P-H07,REF,829.012611,1,0.1,,0,S_REF,0.3,,0,S_REF,0.0,,0,S_REF,0.0,,0,S_REF,9999.0,,0,S_REF,stable_external_reference,,0,S_REF,,,0,S_REF,,,0,S_REF
P-V01-REF-A,P-V01,REF,-350,0,0.1,,0,S_REF,0.3,,0,S_REF,0.0,,0,S_REF,0.0,,0,S_REF,9999.0,,0,S_REF,stable_external_reference,,0,S_REF,,,0,S_REF,,,0,S_REF
P-V01-W001,P-V01,WORK,0,0.2682978173,0.587150837988827,0.032,0,D,0.387988826815642,0.014,0,D,27.5,1.2,0,D,0.834710717201233,0.08,18.48771246,C/R,196.553140125084,25,18.48771246,C/R,carnallite,,0,D,,0.1,18.48771246,C/R,,0.1,18.48771246,C/R
P-V01-W002,P-V01,WORK,104.4516584,0.348366823,0.587150837988827,0.032,0,D,0.387988826815642,0.014,0,D,27.5,1.2,0,D,0.884297549724579,0.08,12.51948061,C/R,171.439343165381,25,12.51948061,C/R,carnallite,,0,D,,0.1,12.51948061,C/R,,0.1,12.51948061,C/R
